D/S,D,D,MST,D,D,D,D,OFF,OFF,OFF,OFF,ACD,ACD,ACD,ACD,ACD,D,D,H,OFF,INS,INS,D,D,D,D,PC,COL,OFF
W,D,G,G,G,OFF,OFF,SCK,PC,PC,ROB,ROB,SCK,VAC,VAC,OFF,OFF,OFF,OFF,VAC,VAC,D,ROB,ROB,OFF,OFF,W,W,FNL,FNL
D,D,W,OFF,GAT,D,ROB,ROB,D,VAC,OFF,OFF,W,W,PC,PC,D,OFF,GAT,D,KSL,D,D,D,G,G,OFF,OFF,TRN,D
D,COL,COL,COL,COL,D,D,D,OFF,OFF,COL,COL,OFF,OFF,D,D,D,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC
VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,OFF,OFF,D,D,D,ROB,PPD,OFF,OFF,D,D,D,TRN,GSC,SCK,ROB,OFF,TRN,OFF,PPD
D/S,PC,PC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,D,D,D,OFF,COL,BC,D,D,OFF,OFF,OFF,OFF,KSL,KSL,D,COL
D,D,SCK,D,D,OFF,OFF,D,D,D,D,G,TRN,TRN,TRN,TRN,TRN,GAT,OFF,PC,D,D,D,D,OFF,OFF,INS,INS,D,D
VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,D,OFF,OFF,D,BC,D,BC,BC,BC,BC,H,OFF,D,D,D,BC,BC,D,D,D,OFF
VAC,VAC,SCK,SCK,D,VAC,VAC,VAC,VAC,VAC,VAC,VAC,W,W,D,D,D,OFF,OFF,D,D,SA,W,W,D,D,OFF,OFF,TRN,D
SCK,D,D,OFF,D,OFF,OFF,INS,INS,D,D,D,D,D,D,OFF,OFF,OFF,OFF,D,D,D,D,D,OFF,OFF,ACD,ACD,ACD,ACD
G,G,D,MIL,MIL,G,G,G,G,G,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,VAC,G,G,D,G,G,OFF,OFF,G,G,G,G
D,D,D,OFF,OFF,FML,D,D,TRN,D,OFF,OFF,ACD,ACD,ACD,ACD,ACD,,,H,OFF,,,,,,,,,OFF
BC,BC,BC,BC,BC,OFF,OFF,BC,BC,BC,BC,BC,BC,SCK,BC,VAC,VAC,VAC,VAC,VAC,BC,BC,BC,BC,OFF,OFF,BC,BC,BC,BC
VAC,VAC,VAC,VAC,VAC,PC,PC,PC,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML,FML
COL,OFF,OFF,OFF,OFF,COL,COL,COL,COL,COL,OFF,OFF,COL,COL,COL,COL,COL,OFF,OFF,D,COL,COL,COL,COL,SCK,COL,D,COL,OFF,OFF
LH,LH,LH,W,W,OFF,OFF,LH,LH,LH,G,D,LH,LH,LH,OFF,OFF,OFF,OFF,LH,LH,LH,LH,LH,OFF,OFF,INS,INS,LH,LH
SCK,SCK,SCK,OFF,OFF,W,W,W,W,W,W,W,OFF,OFF,W,W,W,W,W,W,W,W,OFF,OFF,OFF,OFF,W,W,W,W
PC,D,GSC,D,D,BC,BC,SCK,OFF,OFF,OFF,OFF,G,G,SCK,D,PC,D,D,H,OFF,Vac,D,D,D,D,OFF,VAC,VAC,VAC
KSL,KSL,KSL,KSL,KSL,KSL,KSL,KSL,OFF,OFF,OFF,OFF,KSL,KSL,KSL,KSL,KSL,OFF,OFF,COL,PC,PC,KSL,KSL,KSL,KSL,OFF,OFF,PC,PC
TRN,D,D,OFF,OFF,SCK,D,TRN,KSL,KSL,OFF,OFF,ACD,ACD,ACD,D,D,KSL,KSL,KSL,,KSL,VAC,VAC,VAC,VAC,VAC,VAC,KSL,KSL
SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK,SCK
ROB,ROB,ROB,OFF,OFF,ROB,V,V,V,ROB,PC,PC,OFF,OFF,SCK,SCK,ROB,ROB,ROB,ROB,ROB,ROB,PC,PC,PC,PC,ROB,ROB,ROB,ROB
GSC,GSC,GSC,ROB,ROB,OFF,OFF,D,ROB,D,OFF,OFF,ROB,ROB,G,G,G,G,G,H,OFF,G,D,D,ROB,D,COL,D,D,D
D,D,D,OFF,OFF,D,D,D,D,D,D,D,OFF,OFF,D,D,D,D,D,D,D,D,OFF,OFF,OFF,OFF,D,D,D,D
W,W,W,PC,PC,LH,LH,D,OFF,VAC,VAC,VAC,D,D,ROB,LH,LH,D,D,H,OFF,SA,D,D,COL,W,LH,LH,D,OFF
FML,FML,FML,SCK,SCK,,OFF,OFF,FML,FML,OFF,OFF,FML,FML,FML,FML,FML,OFF,OFF,FNL,FML,D,FML,D,FML,FML,OFF,OFF,D,FML
OFF,OFF,VAC,OFF,OFF,D,D,D,D,SCK,OFF,OFF,D,D,D,D,D,COL,D,H,OFF,SA,GSC,PPD,D,OFF,VAC,VAC,VAC,OFF
SCK,SCK,SCK,OFF,OFF,W,W,W,W,W,KSL,KSL,OFF,OFF,W,W,W,OFF,OFF,W,W,W,W,W,W,SCK,OFF,OFF,W,W
