BC,BC,BC,Off,SA,Off,PC,PC,Off,Off,FOD,FOD,FOD,FOD,Off,Off,HOL,R,WR,ER,CCB,ER,WR,Off,Off,805,ER,WR,CCB,R,HL
WR,R,LH,PC,HL,Off,Off,Off,Off,CCB,ROB,ROB,LH,LH,LH,LH,LH,SCK,CCB,Off,Off,Off,Off,LH,ROB,R,HL,W,ROB,ROB,WR
Off,Off,HOL,CHL,CCB,CCB,SCK,Off,Off,SCK,805,W,W,PC,PC,PC,PC,Off,Off,ER,W,CCB,R,R,Off,Off,W,HL,COL,COL,Off
R,CCB,R,Off,SA,CHL,ER,ER,WR,W,W,R,Off,Off,Off,Off,HOL,R,TRN,G,G,Off,Off,SCK,R,TRN,TRN,TRN,CHL,WR,TRN
VAC,VAC,HOL,CCB,CHL,CCB,R,Off,Off,COL,COL,805,HL,CCB,CHL,CCB,R,Off,Off,CCB,CCB,COL,COL,R,805,KSL,Off,Off,BC,BC,BC
LH,LH,SIC,Off,Off,LH,LH,LH,LH,LH,LH,LH,Off,Off,Off,GAT,HOL,SCK,R,CHL,TSD,Off,Off,TSD,SCK,LH,TSD,LH,Off,Off,R
COL,COL,COL,Off,Off,ER,COL,CHL,W,Off,Off,EC,WR,HL,CCB,MST,COL,COL,COL,Off,Off,Off,Off,CCB,R,ER,R,805,Off,Off,CCB
Off,Off,HOL,ER,WR,PC,805,WR,PC,Off,Off,SCK,SCK,ER,R,ER,CCB,W,W,Off,Off,Off,Off,ER,CCB,R,805,R,Off,Off,W
R,R,R,Off,Off,HL,CHL,MST,R,805,CHL,R,Off,Off,Off,R,HOL,ER,R,R,MIL,MIL,MIL,Sic,R,WR,LH,CCB,MST,G,G
*OF,*OF,HOL,BC,Sic,SCK,BC,BC,BC,SCK,Sic,BC,*OF,*OF,*OF,*OF,*OF,BC,BC,BC,BC,BC,BC,BC,HL,CCB,Off,Off,Off,Off,R
PC,PC,PC,R,PC,Off,Off,Off,Off,PC,PC,CCB,PC,Vac,Off,Off,HOL,PC,CCB,PC,PC,PC,PC,PC,PC,PC,Off,Off,PC,PC,R
Off,*OF,*OF,COL,COL,COL,SCK,COL,COL,Off,Off,SCK,SCK,COL,COL,COL,*OF,*OF,Off,COL,COL,*OF,*OF,VAC,CCB,COL,COL,COL,Off,Off,COL
Off,Off,HOL,W,W,W,W,W,CCB,W,W,Off,Off,W,MST,R,W,W,W,Off,Off,Off,Off,W,W,W,W,W,W,Off,Off
*OF,*OF,*OF,LO,SA,R,TSD,LO,LO,LO,OFF,OFF,OFF,LO,LO,OFF,HOL,LO,LO,TSD,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off
KSL,KSL,KSL,Off,Off,KSL,KSL,KSL,KSL,Off,Off,VAC,VAC,VAC,Off,Off,HOL,KSL,KSL,KSL,KSL,KSL,KSL,HL,Off,Off,KSL,KSL,LH,LH,Off
Off,Off,HOL,SCK,SCK,SCK,SCK,Off,Off,KSL,KSL,KSL,KSL,KSL,KSL,KSL,KSL,WR,CHL,Off,Off,WR,R,KSL,KSL,SCK,Off,Off,KSL,KSL,KSL
Off,Off,HOL,G,G,G,G,G,G,G,Off,Off,COL,R,G,G,G,G,G,Off,Off,Off,Off,SCK,G,CCB,G,G,G,ER,R
ROB,ROB,ROB,805,R,Off,Off,Off,Off,ROB,WR,R,ROB,ROB,ROB,ROB,ROB,ROB,HL,Off,Off,Off,Off,ROB,SCK,SCK,SCK,SCK,Off,Off,R
ER,MST,W,ROB,ROB,Off,Off,VAC,,Off,Off,R,BC,BC,BC,BC,BC,CHL,805,Off,Off,Off,Off,COL,CHL,ROB,PC,PC,Off,Off,R
R,R,CCB,HL,CCB,Off,Off,Off,Off,HL,CCB,R,CCB,CHL,R,R,ER,Off,Off,WR,CHL,Off,Off,R,WR,HL,CHL,SCK,Off,Off,CHL
Off,Off,HOL,LH,LH,ROB,ROB,SCK,MST,SCK,ER,CCB,Off,Off,Off,Off,HOL,CCB,R,HL,SCK,SCK,SCK,Off,Off,SCK,SCK,SCK,R,R,R
CCB,R,W,Off,Off,TSD,TSD,CCB,R,TSD,TSD,VAC,Off,Off,Off,Off,Off,Off,PC,CCB,805,MST,CCB,Off,Off,TSD,BC,BC,R,CCB,PC
G,G,G,R,BC,Off,Off,Off,Off,ER,BC,HL,G,G,Off,Off,HOL,CCB,ER,W,HL,G,G,G,COL,R,Off,Off,Off,Off,ER
MST,ER,WR,KSL,KSL,FOD,FOD,Off,Off,R,HL,PC,805,R,Off,Off,HOL,LH,LH,LH,LH,LH,LH,Off,Off,CHL,ROB,ROB,SCK,MST,LH
Off,Off,HOL,SKP,805,SCK,HL,Off,Off,CHL,CCB,ER,SCK,SCK,SCK,SCK,SCK,Off,Off,SCK,SCK,SCK,SCK,SCK,Off,Off,SCK,SCK,ER,R,CCB
SCK,SCK,SCK,Off,Off,FOD,FOD,ROB,ROB,VAC,FOD,FOD,Off,Off,Off,Off,HOL,SCK,SCK,ROB,ROB,Off,Off,805,BC,BC,WR,ER,Off,Off,ROB
Off,Off,HOL,WR,SA,R,VAC,Off,Off,BC,G,G,R,805,WR,R,WR,VAC,ROB,Off,Off,ROB,ROB,R,LH,G,Off,Off,Off,Off,SCK
Off,*OF,*OF,W,W,W,W,R,ER,Off,Off,W,W,W,W,W,MST,Off,Off,W,W,W,W,W,W,W,Off,Off,Off,Off,W
